class_id,true_label,video_name,split,predicted_id,predicted_label,confidence,correct,status,error
1,bird,0403(78).mp4,test,6,bird,0.13714153439153437,True,SUCCESS,
1,bird,Bird -1.mp4,test,6,bird,0.1726834091834092,True,SUCCESS,
1,bird,manideepbird-3.mp4,test,6,bird,0.12582407407407406,True,SUCCESS,
2,black,0403(82).mp4,test,33,sorry,0.33,False,SUCCESS,
2,black,NachikethBlack3.mp4,test,33,sorry,0.1,False,SUCCESS,
2,black,krishnarajblack.mp4,test,7,black,0.23660250152897225,True,SUCCESS,
3,cat,0403(2).mp4,test,44,welcome,0.14,False,SUCCESS,
3,cat,NachikethCat3.mp4,test,6,bird,0.1334182299182299,False,SUCCESS,
3,cat,manideepcat-3.mp4,test,6,bird,0.11922234247234248,False,SUCCESS,
4,cow,0403(3).mp4,test,6,bird,0.14009824434824436,False,SUCCESS,
4,cow,krishnarajcow_2.mp4,test,7,black,0.1970177322677324,False,SUCCESS,
4,cow,manideepcow-1.mp4,test,6,bird,0.11497222222222223,False,SUCCESS,
5,dog,0403(6).mp4,test,6,bird,0.20617087542087542,False,SUCCESS,
5,dog,Dog1.mp4,test,33,sorry,0.13,False,SUCCESS,
6,fish,Fish -2.mp4,test,33,sorry,0.11666666666666667,False,SUCCESS,
6,fish,Fish 3.mp4,test,33,sorry,0.14,False,SUCCESS,
7,goodmorning,Good morning 3.mp4,test,5,bad,0.1577777777777778,False,SUCCESS,
7,goodmorning,NachikethGoodMorning1.mp4,test,33,sorry,0.11,False,SUCCESS,
7,goodmorning,NachikethGoodMorning2.mp4,test,33,sorry,0.12,False,SUCCESS,
8,grey,NachikethGrey2.mp4,test,44,welcome,0.13,False,SUCCESS,
8,grey,manideepgrey-1.mp4,test,33,sorry,0.11,False,SUCCESS,
9,hello,Nachikethhello3.mp4,test,44,welcome,0.10333333333333333,False,SUCCESS,
9,hello,krishnarajhello_2.mp4,test,33,sorry,0.11333333333333333,False,SUCCESS,
9,hello,manideephello-3.mp4,test,44,welcome,0.13666666666666666,False,SUCCESS,
10,youareperfect,0403(23).mp4,test,33,sorry,0.09333333333333334,False,SUCCESS,
10,youareperfect,You Are Perfect_1.mp4,test,6,bird,0.09866666666666667,False,SUCCESS,
10,youareperfect,manideepyouareperfect-2.mp4,test,6,bird,0.08995238095238095,False,SUCCESS,
11,monsoon,0403(25).mp4,test,32,sleep,0.10333333333333333,False,SUCCESS,
11,monsoon,Monsoon 1.mp4,test,21,goodmorning,0.18931457431457432,False,SUCCESS,
11,monsoon,krishnarajmonsoon_1.mp4,test,6,bird,0.18486147186147187,False,SUCCESS,
12,afternoon,0403(85).mp4,test,33,sorry,0.3433333333333333,False,SUCCESS,
12,afternoon,Afternoon_1.mp4,test,33,sorry,0.24,False,SUCCESS,
13,angry,Angry -3.mp4,test,33,sorry,0.30333333333333334,False,SUCCESS,
13,angry,Angry_2.mp4,test,33,sorry,0.22666666666666666,False,SUCCESS,
14,bad,0403(30).mp4,test,33,sorry,0.26,False,SUCCESS,
14,bad,Bad1.mp4,test,33,sorry,0.25,False,SUCCESS,
14,bad,Bad2.mp4,test,33,sorry,0.25,False,SUCCESS,
15,boy,0403(33).mp4,test,33,sorry,0.10333333333333333,False,SUCCESS,
15,boy,Boy -1.mp4,test,33,sorry,0.21333333333333335,False,SUCCESS,
15,boy,manideepboy-3.mp4,test,33,sorry,0.07666666666666666,False,SUCCESS,
