video_name,video_path,actual_label,actual_class_id,predicted_label,predicted_class_id,confidence,correct,status
0403(78).mp4,D:\Amrita SLR Dataset\sign project\1.bird\0403(78).mp4,bird,1,bird,6,0.16799074074074072,True,SUCCESS
Bird -1.mp4,D:\Amrita SLR Dataset\sign project\1.bird\Bird -1.mp4,bird,1,bird,6,0.1735501813001813,True,SUCCESS
manideepbird-3.mp4,D:\Amrita SLR Dataset\sign project\1.bird\manideepbird-3.mp4,bird,1,bird,6,0.15502360602360604,True,SUCCESS
0403(82).mp4,D:\Amrita SLR Dataset\sign project\2.black\0403(82).mp4,black,2,sorry,33,0.3466666666666667,False,SUCCESS
NachikethBlack3.mp4,D:\Amrita SLR Dataset\sign project\2.black\NachikethBlack3.mp4,black,2,welcome,44,0.1,False,SUCCESS
krishnarajblack.mp4,D:\Amrita SLR Dataset\sign project\2.black\krishnarajblack.mp4,black,2,black,7,0.25253937021584105,True,SUCCESS
0403(2).mp4,D:\Amrita SLR Dataset\sign project\3.cat\0403(2).mp4,cat,3,welcome,44,0.17,False,SUCCESS
NachikethCat3.mp4,D:\Amrita SLR Dataset\sign project\3.cat\NachikethCat3.mp4,cat,3,welcome,44,0.10666666666666667,False,SUCCESS
manideepcat-3.mp4,D:\Amrita SLR Dataset\sign project\3.cat\manideepcat-3.mp4,cat,3,bird,6,0.12658477633477636,False,SUCCESS
0403(3).mp4,D:\Amrita SLR Dataset\sign project\4.cow\0403(3).mp4,cow,4,bird,6,0.16877777777777778,False,SUCCESS
krishnarajcow_2.mp4,D:\Amrita SLR Dataset\sign project\4.cow\krishnarajcow_2.mp4,cow,4,black,7,0.26413818752054063,False,SUCCESS
manideepcow-1.mp4,D:\Amrita SLR Dataset\sign project\4.cow\manideepcow-1.mp4,cow,4,bird,6,0.1466798941798942,False,SUCCESS
0403(6).mp4,D:\Amrita SLR Dataset\sign project\5.dog\0403(6).mp4,dog,5,bird,6,0.18942592592592594,False,SUCCESS
Dog1.mp4,D:\Amrita SLR Dataset\sign project\5.dog\Dog1.mp4,dog,5,grey,22,0.10333333333333333,False,SUCCESS
Fish -2.mp4,D:\Amrita SLR Dataset\sign project\6.fish\Fish -2.mp4,fish,6,sorry,33,0.13666666666666666,False,SUCCESS
Fish 3.mp4,D:\Amrita SLR Dataset\sign project\6.fish\Fish 3.mp4,fish,6,sorry,33,0.16333333333333333,False,SUCCESS
Good morning 3.mp4,D:\Amrita SLR Dataset\sign project\7.goodmorning\Good morning 3.mp4,goodmorning,7,bad,5,0.1577777777777778,False,SUCCESS
NachikethGoodMorning1.mp4,D:\Amrita SLR Dataset\sign project\7.goodmorning\NachikethGoodMorning1.mp4,goodmorning,7,sorry,33,0.11,False,SUCCESS
NachikethGoodMorning2.mp4,D:\Amrita SLR Dataset\sign project\7.goodmorning\NachikethGoodMorning2.mp4,goodmorning,7,sorry,33,0.14,False,SUCCESS
NachikethGrey2.mp4,D:\Amrita SLR Dataset\sign project\8.grey\NachikethGrey2.mp4,grey,8,welcome,44,0.14333333333333334,False,SUCCESS
manideepgrey-1.mp4,D:\Amrita SLR Dataset\sign project\8.grey\manideepgrey-1.mp4,grey,8,sorry,33,0.10666666666666667,False,SUCCESS
Nachikethhello3.mp4,D:\Amrita SLR Dataset\sign project\9.hello\Nachikethhello3.mp4,hello,9,sorry,33,0.14,False,SUCCESS
krishnarajhello_2.mp4,D:\Amrita SLR Dataset\sign project\9.hello\krishnarajhello_2.mp4,hello,9,sorry,33,0.10666666666666667,False,SUCCESS
manideephello-3.mp4,D:\Amrita SLR Dataset\sign project\9.hello\manideephello-3.mp4,hello,9,welcome,44,0.13666666666666666,False,SUCCESS
0403(23).mp4,D:\Amrita SLR Dataset\sign project\10.youareperfect\0403(23).mp4,youareperfect,10,sorry,33,0.13,False,SUCCESS
You Are Perfect_1.mp4,D:\Amrita SLR Dataset\sign project\10.youareperfect\You Are Perfect_1.mp4,youareperfect,10,welcome,44,0.19666666666666666,False,SUCCESS
manideepyouareperfect-2.mp4,D:\Amrita SLR Dataset\sign project\10.youareperfect\manideepyouareperfect-2.mp4,youareperfect,10,sorry,33,0.11333333333333333,False,SUCCESS
0403(25).mp4,D:\Amrita SLR Dataset\sign project\11.monsoon\0403(25).mp4,monsoon,11,sleep,32,0.16333333333333333,False,SUCCESS
Monsoon 1.mp4,D:\Amrita SLR Dataset\sign project\11.monsoon\Monsoon 1.mp4,monsoon,11,bird,6,0.1652204184704185,False,SUCCESS
krishnarajmonsoon_1.mp4,D:\Amrita SLR Dataset\sign project\11.monsoon\krishnarajmonsoon_1.mp4,monsoon,11,black,7,0.25256127369362685,False,SUCCESS
0403(85).mp4,D:\Amrita SLR Dataset\sign project\12.afternoon\0403(85).mp4,afternoon,12,sorry,33,0.31333333333333335,False,SUCCESS
